Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,29.950001,29.98,29.41,29.620001,29.620001,38979200
04-08-2020,29.6,30.16,29.559999,30.01,30.01,34044400
05-08-2020,30.15,30.209999,29.790001,29.85,29.85,22991700
06-08-2020,29.709999,30.09,29.68,29.84,29.84,21908700
07-08-2020,29.74,30.059999,29.58,30.02,30.02,30398500
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,30.049999,30.200001,29.99,30.200001,30.200001,35514400
11-08-2020,30.41,30.77,30.1,30.200001,30.200001,30986900
12-08-2020,30.360001,30.51,30.110001,30.18,30.18,21188100
13-08-2020,30,30.129999,29.84,29.91,29.91,24893100
14-08-2020,29.83,30.15,29.76,30.01,30.01,22547700
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,30.08,30.08,29.799999,29.85,29.85,25019400
18-08-2020,29.860001,29.93,29.77,29.790001,29.790001,21913600
19-08-2020,29.809999,29.889999,29.68,29.73,29.73,24779900
20-08-2020,29.549999,29.879999,29.5,29.67,29.67,22927000
21-08-2020,29.73,29.790001,29.530001,29.690001,29.690001,24883600
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,29.709999,30.049999,29.66,30.030001,30.030001,26384300
25-08-2020,30.09,30.139999,29.83,29.9,29.9,21027100
26-08-2020,29.83,30.120001,29.700001,29.99,29.99,27840300
27-08-2020,30.01,30.17,29.82,29.9,29.9,29612500
28-08-2020,29.940001,30.08,29.809999,30.040001,30.040001,26839400
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,30.15,30.16,29.799999,29.809999,29.809999,41483000
