Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,554.500000,556.500000,546.400024,547.349976,545.391479,9219647
04-08-2020,548.000000,553.349976,545.849976,549.000000,547.035583,11813321
05-08-2020,552.000000,560.500000,546.549988,558.950012,556.950012,12682126
06-08-2020,561.700012,561.700012,552.650024,555.299988,555.299988,10425223
07-08-2020,556.000000,563.400024,552.049988,560.799988,560.799988,7210629
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,564.299988,565.000000,554.799988,558.849976,558.849976,9417791
11-08-2020,558.000000,560.500000,550.200012,551.099976,551.099976,8137906
12-08-2020,550.000000,561.250000,545.349976,547.700012,547.700012,12380655
13-08-2020,534.000000,548.299988,524.250000,535.349976,535.349976,36774315
14-08-2020,542.849976,542.849976,525.000000,528.599976,528.599976,18208679
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,530.549988,532.500000,518.099976,521.400024,521.400024,19012503
18-08-2020,522.049988,529.099976,520.150024,526.299988,526.299988,13517871
19-08-2020,529.000000,539.900024,527.099976,535.849976,535.849976,17074711
20-08-2020,531.000000,533.599976,522.700012,525.549988,525.549988,13438502
21-08-2020,529.799988,529.799988,516.000000,520.250000,520.250000,21834948
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,517.900024,532.400024,508.200012,526.900024,526.900024,29166795
25-08-2020,534.500000,535.650024,526.000000,528.650024,528.650024,19515469
26-08-2020,528.400024,528.400024,512.000000,514.500000,514.500000,25900711
27-08-2020,514.400024,518.500000,508.000000,511.149994,511.149994,21857811
28-08-2020,512.099976,529.549988,512.099976,523.450012,523.450012,21808307
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,n,n,n,n,n,n
