Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,254.020004,260.649994,254.000000,257.940002,257.940002,11530300
04-08-2020,260.079987,262.559998,258.820007,262.200012,262.200012,10994500
05-08-2020,263.739990,265.976013,261.755005,264.910004,264.910004,10729200
06-08-2020,263.420013,265.700012,259.200012,265.679993,265.679993,10359500
07-08-2020,257.410004,257.760010,247.570007,252.100006,252.100006,22517800
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,249.339996,251.750000,246.100006,248.130005,248.130005,13621700
11-08-2020,251.289993,252.880005,247.830002,248.419998,248.419998,10681800
12-08-2020,249.250000,256.079987,248.679993,255.190002,255.190002,11120400
13-08-2020,256.390015,256.970001,252.880005,253.720001,253.720001,8794500
14-08-2020,255.490005,255.770004,251.639999,253.970001,253.970001,7876400
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,253.000000,257.375000,250.085007,256.959991,256.959991,9760000
18-08-2020,258.709991,261.420013,256.059998,259.200012,259.200012,13267800
19-08-2020,260.890015,261.290009,257.380005,260.589996,260.589996,14096500
20-08-2020,256.890015,258.880005,254.179993,257.970001,257.970001,21460800
21-08-2020,259.029999,267.429993,258.309998,265.799988,265.799988,25648200
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,273.239990,276.970001,271.619995,276.019989,276.019989,22475800
25-08-2020,278.059998,289.119995,276.040009,286.000000,286.000000,27535500
26-08-2020,289.260010,292.480011,284.100006,291.959991,291.959991,19530300
27-08-2020,290.170013,290.250000,282.100006,284.170013,284.170013,14805800
28-08-2020,285.089996,289.500000,283.570007,289.000000,289.000000,9689600
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,n,n,n,n,n,n
