Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,1486.640015,1490.469971,1465.640015,1474.449951,1474.449951,2330200
04-08-2020,1476.569946,1485.560059,1458.650024,1464.969971,1464.969971,1903500
05-08-2020,1469.300049,1482.410034,1463.459961,1473.609985,1473.609985,1979500
06-08-2020,1471.750000,1502.390015,1466.000000,1500.099976,1500.099976,1995400
07-08-2020,1500.000000,1516.844971,1481.640015,1494.489990,1494.489990,1576600
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,1487.180054,1504.074951,1473.079956,1496.099976,1496.099976,1289300
11-08-2020,1492.439941,1510.000000,1478.000000,1480.319946,1480.319946,1454400
12-08-2020,1485.579956,1512.385986,1485.250000,1506.619995,1506.619995,1437700
13-08-2020,1510.339966,1537.250000,1508.005005,1518.449951,1518.449951,1455200
14-08-2020,1515.660034,1521.900024,1502.880005,1507.729980,1507.729980,1354800
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,1514.670044,1525.609985,1507.969971,1517.979980,1517.979980,1378300
18-08-2020,1526.180054,1562.469971,1523.709961,1558.599976,1558.599976,2027100
19-08-2020,1553.310059,1573.680054,1543.949951,1547.530029,1547.530029,1660600
20-08-2020,1543.449951,1585.869995,1538.199951,1581.750000,1581.750000,1706900
21-08-2020,1577.030029,1597.719971,1568.005005,1580.420044,1580.420044,1446500
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,1593.979980,1614.170044,1580.569946,1588.199951,1588.199951,1409900
25-08-2020,1582.069946,1611.619995,1582.069946,1608.219971,1608.219971,2247100
26-08-2020,1608.000000,1659.219971,1603.599976,1652.380005,1652.380005,3993400
27-08-2020,1653.680054,1655.000000,1625.750000,1634.329956,1634.329956,1861600
28-08-2020,1633.489990,1647.170044,1630.750000,1644.410034,1644.410034,1499800
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,1647.890015,1647.964966,1630.310059,1634.180054,1634.180054,1823400
