Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,3180.51001,3184,3104,3111.889893,3111.889893,5074700
04-08-2020,3101.209961,3167.23999,3101.209961,3138.830078,3138.830078,4694300
05-08-2020,3143.77002,3213.590088,3127.300049,3205.030029,3205.030029,3930000
06-08-2020,3194.360107,3247.469971,3165.429932,3225,3225,3940600
07-08-2020,3224.01001,3240.810059,3140.669922,3167.459961,3167.459961,3929600
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,3170.310059,3172.51001,3101.52002,3148.159912,3148.159912,3167300
11-08-2020,3113.199951,3159.219971,3073,3080.669922,3080.669922,3718100
12-08-2020,3108,3174.389893,3101.419922,3162.23999,3162.23999,3527200
13-08-2020,3182.98999,3217.52002,3155,3161.02002,3161.02002,3149000
14-08-2020,3178.179932,3178.23999,3120,3148.02002,3148.02002,2751700
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,3173.120117,3194.969971,3154.179932,3182.409912,3182.409912,2691200
18-08-2020,3212,3320,3205.820068,3312.48999,3312.48999,5346000
19-08-2020,3303.01001,3315.899902,3256,3260.47998,3260.47998,4185100
20-08-2020,3252,3312.620117,3238,3297.370117,3297.370117,3332500
21-08-2020,3295,3314.399902,3275.389893,3284.719971,3284.719971,3575900
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,3310.149902,3380.320068,3257.560059,3307.459961,3307.459961,4666300
25-08-2020,3294.98999,3357.399902,3267,3346.48999,3346.48999,3992800
26-08-2020,3351.110107,3451.73999,3344.570068,3441.850098,3441.850098,6508700
27-08-2020,3450.050049,3453,3378,3400,3400,4264800
28-08-2020,3423,3433.370117,3386.5,3401.800049,3401.800049,2897000
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,3408.98999,3495,3405,3450.959961,3450.959961,4185900
