Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,93.309998,94.400002,92.440002,93.540001,92.825447,2869000
04-08-2020,93.489998,93.800003,92.489998,93.190002,92.478119,2415100
05-08-2020,93.820000,95.580002,93.809998,95.389999,94.661308,2852300
06-08-2020,95.180000,96.269997,94.480003,95.919998,95.187256,2698800
07-08-2020,95.290001,99.300003,94.949997,99.160004,98.402512,4688500
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,99.489998,102.650002,99.260002,101.620003,100.843719,5254800
11-08-2020,103.989998,105.699997,102.959999,103.260002,102.471191,4744000
12-08-2020,104.760002,104.800003,100.680000,101.680000,100.903259,3407800
13-08-2020,100.529999,101.830002,99.500000,100.419998,99.652885,3265400
14-08-2020,99.660004,101.290001,99.269997,100.410004,99.642967,1956500
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,99.919998,100.000000,97.440002,97.550003,96.804817,7488500
18-08-2020,98.190002,98.830002,96.470001,96.669998,95.931526,3337300
19-08-2020,96.820000,97.910004,95.889999,96.889999,96.149857,3079600
20-08-2020,95.739998,97.580002,95.680000,96.720001,95.981148,3102500
21-08-2020,96.489998,97.650002,95.959999,96.150002,95.415504,2845100
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,96.680000,99.370003,96.389999,99.330002,98.571213,4141100
25-08-2020,100.620003,100.790001,98.029999,99.050003,98.293358,2946600
26-08-2020,98.559998,99.139999,97.809998,98.400002,97.648315,2936500
27-08-2020,98.760002,102.139999,98.529999,101.529999,100.754402,3992100
28-08-2020,102.150002,102.900002,100.739998,102.540001,101.756691,4382900
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,102.900002,102.900002,101.360001,101.589996,100.813942,4665800
