Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,275.220001,277.390015,269.359985,270.750000,268.993988,988000
04-08-2020,269.380005,272.859985,267.720001,270.890015,269.133118,953900
05-08-2020,272.850006,276.010010,270.209991,275.649994,273.862213,1304900
06-08-2020,274.920013,277.640015,269.079987,271.480011,269.719269,1002300
07-08-2020,271.230011,278.179993,271.230011,276.660004,274.865692,928300
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,277.089996,280.149994,276.239990,278.850006,277.041504,754400
11-08-2020,283.070007,288.000000,279.089996,280.329987,278.511841,1416900
12-08-2020,282.640015,286.179993,280.450012,283.179993,281.343384,817100
13-08-2020,281.779999,282.369995,278.369995,282.329987,280.498871,687900
14-08-2020,280.450012,285.269989,279.109985,283.230011,281.393066,567700
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,283.510010,285.839996,282.179993,283.109985,281.273804,817200
18-08-2020,284.040009,285.649994,281.850006,282.450012,280.618134,959100
19-08-2020,282.779999,286.299988,282.739990,283.399994,281.561951,634000
20-08-2020,281.829987,283.750000,280.549988,281.750000,279.922668,813800
21-08-2020,282.500000,286.269989,281.750000,284.630005,282.783997,957600
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,286.769989,287.000000,278.390015,279.160004,277.349457,729600
25-08-2020,280.750000,280.940002,275.160004,276.470001,274.676910,870900
26-08-2020,276.700012,276.709991,266.799988,270.209991,268.457489,1342000
27-08-2020,271.410004,278.640015,269.279999,274.589996,272.809113,1360800
28-08-2020,274.679993,279.010010,271.859985,277.279999,275.481628,643300
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,276.209991,284.350006,276.190002,281.519989,279.694122,1514500
