Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,197.279999,200.679993,196,199.259995,199.259995,6251000
04-08-2020,198.970001,200.309998,198.110001,200.240005,200.240005,3838800
05-08-2020,201.440002,204.690002,201,203.619995,203.619995,5184500
06-08-2020,203,205.389999,202.699997,205.020004,205.020004,3380700
07-08-2020,204.199997,209.75,204,209.479996,209.479996,6186000
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,211.339996,212.919998,209.399994,212.580002,212.580002,6633800
11-08-2020,214.740005,215.600006,212.240005,212.660004,212.660004,5688200
12-08-2020,213.100006,214.389999,212.309998,213.240005,213.240005,4791900
13-08-2020,212.929993,213.330002,211.660004,211.979996,211.979996,4535600
14-08-2020,211.039993,211.970001,210.25,210.960007,210.960007,3441500
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,210.050003,210.820007,206.339996,206.779999,206.779999,5484400
18-08-2020,206.949997,209.759995,206.800003,208.330002,208.330002,3500100
19-08-2020,209.190002,210.210007,206.660004,207.210007,207.210007,5829000
20-08-2020,205.169998,206.789993,204.509995,206.119995,206.119995,4133800
21-08-2020,205.520004,208.399994,205.520004,207.429993,207.429993,4785300
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,209.229996,213.300003,208.910004,212.610001,212.610001,5039500
25-08-2020,213.559998,214,212.850006,213.350006,213.350006,3675900
26-08-2020,212.979996,215.830002,212.300003,214.660004,214.660004,4639000
27-08-2020,214.990005,217.979996,214.759995,216.869995,216.869995,4814200
28-08-2020,217.509995,218.809998,215.729996,218.550003,218.550003,4290400
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,218.619995,219.449997,217.649994,218.039993,218.039993,6131900
