Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,579.349976,583.549988,577.309998,579.950012,573.574341,496400
04-08-2020,573.650024,575.690002,567.929993,571.039978,564.762329,513100
05-08-2020,576.710022,584.919983,573.229980,582.150024,575.750183,465800
06-08-2020,579.960022,583.349976,575.070007,582.229980,575.829285,455000
07-08-2020,582.669983,588.340027,579.419983,588.190002,581.723755,469900
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,586.210022,587.159973,579.669983,580.200012,573.821655,465800
11-08-2020,585.299988,596.510010,583.330017,586.640015,580.190796,576800
12-08-2020,592.140015,605.719971,584.400024,590.239990,583.751221,612200
13-08-2020,586.719971,595.299988,586.719971,589.559998,583.078735,359700
14-08-2020,588.609985,592.460022,584.059998,588.460022,581.990845,316700
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,590.929993,595.539978,587.890015,592.030029,585.521606,411100
18-08-2020,591.090027,594.760010,588.799988,589.210022,582.732605,456200
19-08-2020,592.330017,595.549988,588.799988,589.750000,583.266663,418700
20-08-2020,584.880005,588.260010,581.039978,583.359985,576.946838,552400
21-08-2020,585.409973,588.000000,581.929993,584.039978,577.619385,418400
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,587.380005,591.690002,584.289978,591.450012,584.947937,381600
25-08-2020,594.450012,594.599976,590.119995,591.150024,584.651245,373300
26-08-2020,591.460022,595.700012,587.900024,592.099976,585.590759,540200
27-08-2020,592.940002,598.900024,591.989990,594.979980,588.439148,428900
28-08-2020,595.609985,601.309998,592.090027,601.059998,594.452332,436000
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,602.520020,604.080017,593.669983,594.190002,587.657776,581700
