Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,156.509995,163.580002,153.410004,162.270004,162.270004,38520500
04-08-2020,164.630005,167.399994,163.009995,165.070007,165.070007,30853500
05-08-2020,167.600006,174.979996,166.399994,174.279999,174.279999,46551000
06-08-2020,172.800003,175.570007,170.600006,172.199997,172.199997,32921600
07-08-2020,171.5,171.860001,168.699997,170.020004,170.020004,19301600
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,171.360001,179.789993,171.330002,179.410004,179.410004,35857700
11-08-2020,184.509995,189.970001,179.529999,180.130005,180.130005,61036600
12-08-2020,184.009995,184.149994,173.190002,175.440002,175.440002,40702400
13-08-2020,173.619995,179.470001,172.429993,174.729996,174.729996,22958800
14-08-2020,173.089996,179.470001,172.350006,178.080002,178.080002,32414100
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,178.240005,178.289993,171.410004,172.009995,172.009995,23352100
18-08-2020,172.009995,173.240005,169.009995,170.229996,170.229996,21488500
19-08-2020,170.440002,174.100006,169.089996,169.270004,169.270004,25601500
20-08-2020,168.539993,170.839996,165.860001,169.580002,169.580002,23213400
21-08-2020,168.350006,170.080002,167.270004,167.5,167.5,16945900
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,168.779999,178.270004,167.929993,178.270004,178.270004,39317100
25-08-2020,180.460007,180.630005,172.440002,174.729996,174.729996,31318500
26-08-2020,173.800003,174.429993,171.350006,171.899994,171.899994,16189800
27-08-2020,174.710007,181.309998,173.559998,174.199997,174.199997,29548100
28-08-2020,175.110001,177.279999,172.570007,175.800003,175.800003,20383900
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,174.649994,175.270004,171.699997,171.820007,171.820007,16264300
