Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,13078.700195,13245.099609,12748.799805,12794.099609,12689.099609,31958
04-08-2020,12945.000000,13045.000000,12721.000000,12767.900391,12767.900391,29889
05-08-2020,12867.900391,12985.700195,12700.799805,12852.099609,12852.099609,23894
06-08-2020,12969.000000,13250.000000,12807.200195,13065.700195,13065.700195,53334
07-08-2020,13050.000000,13790.000000,13050.000000,13657.700195,13657.700195,116364
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,13655.000000,13889.799805,13503.500000,13592.000000,13592.000000,44968
11-08-2020,13719.500000,13814.799805,13112.000000,13262.500000,13262.500000,88879
12-08-2020,13250.000000,14485.000000,12953.200195,14327.500000,14327.500000,209342
13-08-2020,14300.000000,14725.799805,14078.299805,14397.000000,14397.000000,107444
14-08-2020,14399.900391,14399.900391,13642.700195,13705.200195,13705.200195,85542
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,13800.000000,13993.799805,13475.000000,13895.099609,13895.099609,61158
18-08-2020,13961.000000,14140.000000,13733.799805,13814.900391,13814.900391,60135
19-08-2020,13948.900391,13990.000000,13581.000000,13615.900391,13615.900391,55444
20-08-2020,13590.000000,13859.299805,13501.000000,13758.099609,13758.099609,33183
21-08-2020,13849.000000,14380.000000,13751.500000,14196.799805,14196.799805,85025
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,14299.000000,14485.000000,14140.799805,14197.200195,14197.200195,52366
25-08-2020,14299.900391,14540.000000,14181.000000,14254.500000,14254.500000,43362
26-08-2020,14325.000000,14425.000000,14191.000000,14295.500000,14295.500000,35289
27-08-2020,14430.000000,14430.000000,14083.799805,14145.799805,14145.799805,30520
28-08-2020,14200.000000,14300.000000,13951.000000,14007.700195,14007.700195,30109
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,n,n,n,n,n,n
