Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,63.450001,64.169998,63.02,63.860001,63.322731,6130500
04-08-2020,63.740002,65.410004,63.669998,64.980003,64.433311,9482400
05-08-2020,65.540001,65.599998,63.900002,64.400002,63.858189,12908900
06-08-2020,64.550003,65.400002,63.919998,64.120003,63.580544,6644100
07-08-2020,63.790001,64.970001,63.650002,64.959999,64.413475,6110700
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,64.900002,65.959999,64.790001,65.709999,65.157166,6516500
11-08-2020,66.300003,67.169998,65.07,65.260002,64.710953,6957500
12-08-2020,65.830002,65.980003,64.610001,64.989998,64.443222,6867300
13-08-2020,64.57,64.970001,64.050003,64.699997,64.155663,6558000
14-08-2020,64.279999,65.68,64.089996,65.669998,65.1175,4920500
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,65.849998,65.879997,64.879997,64.900002,64.353981,5603800
18-08-2020,65.010002,65.559998,64.900002,65.18,64.631622,7118700
19-08-2020,65.389999,65.709999,64.989998,65.279999,64.730782,5070000
20-08-2020,64.82,64.93,63.639999,63.720001,63.18391,6035400
21-08-2020,63.700001,64.120003,63.43,63.939999,63.402054,4961700
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,64.010002,67.300003,63.419998,63.869999,63.332645,8360100
25-08-2020,64.059998,64.169998,63.189999,63.470001,62.936012,4326100
26-08-2020,63.119999,63.169998,61.889999,62.700001,62.172489,8198800
27-08-2020,62.630001,63.610001,62.27,63.389999,62.856682,5074000
28-08-2020,63.470001,63.630001,62.830002,63.209999,62.678196,5045000
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,62.459999,63.060001,62.110001,62.119999,61.597366,8171400
