Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,16.459999,16.74,16.43,16.719999,16.719999,744500
04-08-2020,16.83,16.969999,16.77,16.85,16.85,588600
05-08-2020,16.85,16.959999,16.76,16.780001,16.780001,423500
06-08-2020,16.65,16.889999,16.65,16.83,16.83,491700
07-08-2020,16.940001,17.139999,16.93,17.139999,17.139999,325700
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,17.17,17.25,17.15,17.209999,17.209999,362700
11-08-2020,17.6,17.709999,17.33,17.33,17.33,489700
12-08-2020,17.709999,17.719999,17.620001,17.66,17.66,492600
13-08-2020,17.59,17.73,17.540001,17.700001,17.700001,326600
14-08-2020,17.709999,17.93,17.700001,17.860001,17.860001,282200
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,17.799999,17.860001,17.68,17.700001,17.700001,560800
18-08-2020,17.530001,17.540001,17.299999,17.32,17.32,491500
19-08-2020,17.51,17.68,17.4,17.41,17.41,444700
20-08-2020,17.440001,17.530001,17.4,17.52,17.52,417600
21-08-2020,17.48,17.48,17.33,17.440001,17.440001,219400
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,17.209999,17.33,17.139999,17.299999,17.299999,582700
25-08-2020,17.68,17.870001,17.65,17.65,17.65,738100
26-08-2020,17.440001,17.540001,17.440001,17.52,17.52,1031700
27-08-2020,17.4,17.4,17.200001,17.299999,17.299999,369500
28-08-2020,17.33,17.379999,17.280001,17.370001,17.370001,304000
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,17.370001,17.370001,17.09,17.16,17.16,864000
