Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,109.650002,110.050003,106.900002,109.699997,109.699997,741656
04-08-2020,110.800003,111.050003,109.199997,109.699997,109.699997,339108
05-08-2020,110.500000,112.349998,110.400002,112.150002,112.150002,353975
06-08-2020,112.500000,113.449997,111.400002,111.849998,111.849998,383368
07-08-2020,111.849998,112.000000,110.050003,111.300003,111.300003,358157
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,111.500000,112.400002,110.349998,110.550003,110.550003,232930
11-08-2020,111.199997,113.500000,111.199997,112.400002,112.400002,295387
12-08-2020,112.199997,114.449997,111.849998,114.349998,114.349998,281786
13-08-2020,113.949997,114.199997,112.849998,113.400002,113.400002,264261
14-08-2020,113.699997,113.849998,111.099998,111.349998,111.349998,260787
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,111.099998,112.849998,111.000000,111.949997,111.949997,190138
18-08-2020,111.750000,113.550003,110.800003,112.849998,112.849998,264738
19-08-2020,112.949997,113.750000,112.099998,113.650002,113.650002,213909
20-08-2020,112.699997,112.800003,111.449997,112.300003,112.300003,280249
21-08-2020,112.750000,114.000000,111.699997,114.000000,114.000000,268818
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,115.000000,116.199997,114.599998,115.650002,115.650002,326794
25-08-2020,116.000000,117.400002,115.750000,116.599998,116.599998,264169
26-08-2020,116.150002,118.349998,115.599998,118.199997,118.199997,308943
27-08-2020,118.400002,118.699997,116.949997,117.000000,117.000000,236088
28-08-2020,117.000000,118.099998,116.099998,117.550003,117.550003,261327
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,n,n,n,n,n,n
