Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,173.889999,174.000000,170.839996,173.000000,173.000000,2063400
04-08-2020,172.490005,175.789993,171.770004,173.500000,173.500000,1860200
05-08-2020,175.429993,176.800003,173.270004,174.869995,174.869995,2430100
06-08-2020,173.210007,175.619995,171.419998,173.070007,173.070007,1775800
07-08-2020,173.199997,178.309998,172.979996,178.190002,178.190002,1801000
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,177.139999,183.229996,177.139999,183.000000,183.000000,2048300
11-08-2020,185.000000,187.199997,182.020004,182.380005,182.380005,1928100
12-08-2020,185.139999,186.770004,181.750000,184.320007,184.320007,2154200
13-08-2020,182.440002,182.660004,179.710007,180.880005,180.880005,1210700
14-08-2020,179.660004,184.660004,178.740005,183.399994,183.399994,1211900
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,183.300003,183.919998,181.600006,182.190002,182.190002,1522500
18-08-2020,182.000000,183.520004,180.759995,181.929993,181.929993,1145100
19-08-2020,182.410004,183.500000,181.029999,181.250000,181.250000,1688200
20-08-2020,180.050003,180.520004,177.449997,178.009995,178.009995,1247700
21-08-2020,178.570007,180.500000,177.339996,178.300003,178.300003,1385800
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,179.429993,179.740005,175.610001,177.679993,177.679993,1454100
25-08-2020,178.460007,178.460007,176.009995,177.410004,177.410004,1337700
26-08-2020,177.029999,177.029999,172.160004,174.100006,174.100006,1938600
27-08-2020,175.139999,178.350006,174.289993,177.080002,177.080002,1648000
28-08-2020,177.410004,181.440002,175.960007,181.149994,181.149994,1511300
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,179.339996,182.740005,177.279999,177.369995,177.369995,3040200
