Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,47.139999,47.360001,46.23,46.299999,46.299999,14137500
04-08-2020,46.290001,46.860001,46.220001,46.689999,46.689999,11717200
05-08-2020,46.900002,47.27,46.810001,47.220001,47.220001,10561600
06-08-2020,46.66,47.529999,46.599998,47.48,47.48,10745000
07-08-2020,47.470001,48.080002,47.209999,47.799999,47.799999,11667500
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,48.060001,48.279999,47.66,47.720001,47.720001,11888000
11-08-2020,48.459999,48.650002,47.700001,47.93,47.93,16531600
12-08-2020,48.299999,48.689999,48.119999,48.43,48.43,9564000
13-08-2020,48.259998,48.73,48.060001,48.380001,48.380001,9882900
14-08-2020,48.34,48.689999,48.029999,48.450001,48.450001,10075800
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,48.32,48.75,48.200001,48.209999,48.209999,9102400
18-08-2020,48.200001,48.5,47.959999,48.419998,48.419998,9829000
19-08-2020,48.119999,48.380001,47.220001,47.369999,47.369999,17371000
20-08-2020,47.27,47.599998,47.09,47.349998,47.349998,11308700
21-08-2020,47.34,47.5,46.970001,47.279999,47.279999,14734100
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,47.43,47.98,47.18,47.970001,47.970001,9257700
25-08-2020,48,48.049999,47.650002,47.91,47.91,7827800
26-08-2020,47.759998,48.18,47.470001,48.16,48.16,10124200
27-08-2020,48.25,48.82,48.200001,48.23,48.23,10931600
28-08-2020,48.75,49.849998,48.529999,49.830002,49.830002,16420300
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,49.799999,50.07,49.349998,49.529999,49.529999,18510800
