Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,387.450012,393.959991,382.000000,387.029999,385.479218,558500
04-08-2020,385.000000,392.029999,383.540009,391.859985,390.289825,441100
05-08-2020,389.970001,394.500000,388.600006,393.440002,391.863525,539700
06-08-2020,392.190002,395.239990,390.920013,392.549988,390.977081,312500
07-08-2020,392.579987,393.850006,385.000000,389.119995,387.560852,472400
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,389.559998,391.920013,384.399994,385.929993,384.383606,410300
11-08-2020,384.000000,391.179993,381.869995,388.649994,387.092712,453700
12-08-2020,390.359985,395.950012,388.019989,392.670013,391.096619,413900
13-08-2020,394.380005,399.480011,392.260010,399.040009,397.441101,580800
14-08-2020,399.980011,400.899994,393.670013,398.989990,397.391296,341600
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,401.000000,409.799988,401.000000,409.390015,407.749634,840600
18-08-2020,410.000000,413.730011,406.170013,411.450012,409.801392,439300
19-08-2020,413.450012,416.299988,408.019989,414.230011,412.570251,612300
20-08-2020,413.329987,419.660004,412.820007,418.329987,416.653778,511100
21-08-2020,419.940002,423.549988,416.730011,419.700012,418.018311,368200
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,423.019989,424.720001,416.769989,418.989990,417.311127,456000
25-08-2020,418.230011,419.839996,411.059998,419.359985,417.679657,379900
26-08-2020,417.559998,419.720001,414.920013,418.089996,416.414764,349500
27-08-2020,418.089996,422.950012,416.299988,416.320007,414.651855,370200
28-08-2020,414.769989,419.369995,412.010010,415.980011,414.313202,321800
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,418.000000,418.279999,407.160004,408.959991,407.321350,670700
