Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,26542.32031,26707.25977,26534.38086,26664.40039,26664.40039,439380000
04-08-2020,26664.60938,26832.7207,26597.82031,26828.4707,26828.4707,346350000
05-08-2020,26924.7793,27221.66992,26924.7793,27201.51953,27201.51953,366000000
06-08-2020,27170.82031,27394.09961,27145.25,27386.98047,27386.98047,322460000
07-08-2020,27321.67969,27456.24023,27223.55078,27433.48047,27433.48047,321170000
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,27488.21094,27803.85938,27488.21094,27791.43945,27791.43945,360340000
11-08-2020,27961.64063,28154.88086,27624.50977,27686.91016,27686.91016,428220000
12-08-2020,27860.24023,28043.89063,27843.32031,27976.83984,27976.83984,340210000
13-08-2020,27922.50977,27986.09961,27789.7793,27896.7207,27896.7207,360160000
14-08-2020,27828.92969,27977.81055,27759.39063,27931.01953,27931.01953,275540000
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,27970.05078,27999.81055,27816.40039,27844.91016,27844.91016,286860000
18-08-2020,27853.48047,27891.11914,27668.78906,27778.07031,27778.07031,276170000
19-08-2020,27811.25977,27920.41992,27647.66992,27692.88086,27692.88086,311460000
20-08-2020,27622.67969,27781.46094,27526.25,27739.73047,27739.73047,304550000
21-08-2020,27758.13086,27959.48047,27686.7793,27930.33008,27930.33008,372720000
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,28077.58008,28314.93945,28041.75,28308.46094,28308.46094,383880000
25-08-2020,28347.41992,28400.74023,28094.57031,28248.43945,28248.43945,338420000
26-08-2020,28257.88086,28353.80078,28153.91016,28331.91992,28331.91992,327070000
27-08-2020,28384.07031,28634.2207,28363.92969,28492.26953,28492.26953,404340000
28-08-2020,28601.28906,28733.34961,28487.98047,28653.86914,28653.86914,369740000
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,28643.66016,28643.66016,28363.55078,28430.05078,28430.05078,517320000
