Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,181.559998,189.259995,180.339996,186.449997,186.449997,413300
04-08-2020,182.529999,187.085007,182.210007,185.509995,185.509995,483300
05-08-2020,188,188.850006,186.190002,186.729996,186.729996,360500
06-08-2020,185.740005,187.410004,185.139999,186.639999,186.639999,126900
07-08-2020,186.539993,187.279999,184.479996,185.949997,185.949997,119900
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,183.880005,184.830002,182.779999,184.25,184.25,149900
11-08-2020,187.800003,189.205002,185.320007,185.490005,185.490005,229500
12-08-2020,191.059998,193.830002,190.619995,192.630005,192.630005,369300
13-08-2020,193.710007,196.529999,193.5,194.320007,194.320007,245500
14-08-2020,194.809998,195.410004,193.199997,194.300003,194.300003,228000
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,195.869995,198.550003,195.809998,197.190002,197.190002,223200
18-08-2020,199,199.619995,196.130005,196.300003,196.300003,139000
19-08-2020,197.100006,197.100006,194.429993,194.710007,194.710007,152500
20-08-2020,192.460007,195.440002,192.182007,195.020004,195.020004,114200
21-08-2020,191.619995,194.619995,191.539993,193.809998,193.809998,127200
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,197.380005,197.380005,194.966995,195.429993,195.429993,101600
25-08-2020,198.270004,198.294998,195.470001,197.309998,197.309998,87600
26-08-2020,196.059998,199.970001,196,199.289993,199.289993,215500
27-08-2020,198.460007,198.550003,194.309998,195.509995,195.509995,189700
28-08-2020,196.110001,196.710007,195.244995,196.300003,196.300003,91900
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,195.679993,196.179993,194.279999,194.75,194.75,102000
