Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,6.65,6.72,6.53,6.69,6.69,53845900
04-08-2020,6.91,6.91,6.73,6.86,6.86,69377600
05-08-2020,6.86,7.03,6.86,6.96,6.96,82716400
06-08-2020,6.93,7,6.89,6.93,6.93,48668500
07-08-2020,6.87,6.92,6.79,6.86,6.86,47455200
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,6.91,7.13,6.91,7.09,7.09,57229000
11-08-2020,7.21,7.38,7.19,7.23,7.23,74016400
12-08-2020,7.33,7.37,7.06,7.11,7.11,59194100
13-08-2020,7.03,7.18,7,7.03,7.03,50066800
14-08-2020,6.97,7.11,6.93,7.04,7.04,43517700
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,7.05,7.06,6.87,6.98,6.98,64555200
18-08-2020,6.98,7.01,6.89,6.89,6.89,40444200
19-08-2020,6.89,7.02,6.86,6.87,6.87,44158100
20-08-2020,6.77,6.89,6.73,6.84,6.84,41824500
21-08-2020,6.78,6.85,6.65,6.66,6.66,39158900
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,6.73,7,6.69,6.98,6.98,64974700
25-08-2020,7.01,7.1,6.86,6.94,6.94,49550000
26-08-2020,6.94,6.97,6.77,6.82,6.82,48600100
27-08-2020,6.83,6.98,6.83,6.91,6.91,45740900
28-08-2020,6.93,6.95,6.86,6.94,6.94,39936900
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,6.9,6.93,6.79,6.82,6.82,50089500
