Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,13.22,13.26,12.95,13.11,13.11,6774800
04-08-2020,13.05,13.51,13.05,13.45,13.45,7461000
05-08-2020,13.75,14.28,13.58,13.88,13.88,12530400
06-08-2020,13.74,13.95,13.51,13.67,13.67,6219000
07-08-2020,13.65,14.11,13.47,14.08,14.08,6298800
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,14.31,14.9,14.24,14.64,14.64,10895900
11-08-2020,14.94,15.63,14.91,15.02,15.02,16282900
12-08-2020,15.24,15.5,14.73,15.15,15.15,6770500
13-08-2020,14.97,15.04,14.59,14.83,14.83,9061600
14-08-2020,14.74,15.32,14.57,15.08,15.08,8086300
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,15.24,15.78,15.19,15.39,15.39,12121700
18-08-2020,14.8,15.17,14.25,14.96,14.96,12229900
19-08-2020,14.78,15.19,14.58,14.88,14.88,7475400
20-08-2020,14.81,15.13,14.55,14.58,14.58,7082400
21-08-2020,14.64,14.87,14.38,14.43,14.43,5941700
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,14.49,15.53,14.49,15.5,15.5,12058600
25-08-2020,16.200001,17.200001,16.07,17.110001,17.110001,29694400
26-08-2020,17.26,17.530001,16.950001,17.030001,17.030001,11749800
27-08-2020,17.120001,17.879999,17.110001,17.379999,17.379999,20670600
28-08-2020,17.379999,17.950001,16.870001,17.540001,17.540001,20169500
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,17.42,17.85,17.299999,17.389999,17.389999,8253700
