Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,69.720001,72.150002,69.610001,71.730003,70.191788,9671800
04-08-2020,72.019997,72.309998,70.470001,70.879997,69.360008,9799700
05-08-2020,70.639999,70.809998,68.980003,69.000000,67.520332,12281900
06-08-2020,69.019997,69.629997,68.620003,68.809998,67.334404,8318000
07-08-2020,69.360001,69.730003,68.809998,69.349998,67.862823,8066400
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,69.150002,69.250000,67.959999,68.510002,67.040840,10278000
11-08-2020,68.449997,69.180000,67.919998,68.099998,66.639626,10236900
12-08-2020,68.690002,69.110001,68.379997,68.839996,67.363762,9121200
13-08-2020,68.970001,69.190002,67.989998,68.180000,66.717918,7468100
14-08-2020,68.089996,68.820000,68.000000,68.500000,67.031052,9169200
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,68.320000,69.349998,68.309998,69.150002,67.667114,6848800
18-08-2020,69.230003,69.750000,68.980003,69.059998,67.579041,6327500
19-08-2020,66.190002,67.470001,65.500000,65.699997,64.291092,19680300
20-08-2020,65.839996,66.160004,65.550003,66.050003,64.633591,8339300
21-08-2020,65.779999,66.870003,65.410004,66.500000,65.073936,9898000
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,66.360001,66.959999,65.550003,66.080002,64.662949,8566200
25-08-2020,65.910004,66.239998,65.709999,66.050003,64.633591,7456600
26-08-2020,65.879997,65.879997,65.160004,65.599998,64.193237,7522600
27-08-2020,65.589996,65.849998,65.320000,65.550003,64.144318,7919600
28-08-2020,65.220001,65.750000,64.980003,65.260002,63.860531,6821000
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,65.459999,66.889999,65.419998,66.750000,65.318581,9083900
