Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,21.420000,21.840000,21.350000,21.580000,21.580000,5068600
04-08-2020,21.629999,21.980000,21.580000,21.910000,21.910000,2890600
05-08-2020,21.700001,21.910000,21.700001,21.820000,21.820000,2678100
06-08-2020,21.209999,21.430000,21.209999,21.379999,21.379999,3423300
07-08-2020,20.990000,21.370001,20.980000,21.340000,21.340000,4315400
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,21.379999,21.770000,21.350000,21.690001,21.690001,3810500
11-08-2020,22.420000,22.820000,22.350000,22.490000,22.490000,6771600
12-08-2020,23.389999,23.400000,23.080000,23.120001,23.120001,4418700
13-08-2020,22.709999,22.790001,22.280001,22.340000,22.340000,2615200
14-08-2020,22.129999,22.350000,22.120001,22.280001,22.280001,1900000
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,22.250000,22.280001,22.049999,22.200001,22.200001,2297200
18-08-2020,22.049999,22.070000,21.840000,21.889999,21.889999,2144900
19-08-2020,21.870001,22.110001,21.870001,21.950001,21.950001,1954100
20-08-2020,21.559999,21.719999,21.530001,21.719999,21.719999,2808000
21-08-2020,21.370001,21.639999,21.370001,21.639999,21.639999,2742000
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,21.770000,22.250000,21.709999,22.250000,22.250000,4130600
25-08-2020,22.100000,22.200001,21.959999,22.059999,22.059999,3699300
26-08-2020,21.860001,21.910000,21.750000,21.820000,21.820000,2644100
27-08-2020,21.670000,21.809999,21.580000,21.650000,21.650000,2418500
28-08-2020,22.129999,22.150000,21.940001,22.040001,22.040001,2177600
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,n,n,n,n,n,n
