Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,17.59,17.879999,17.379999,17.77,17.607363,7614300
04-08-2020,17.790001,18.02,17.690001,17.889999,17.726263,8697100
05-08-2020,18.049999,18.219999,17.879999,17.969999,17.805532,9827600
06-08-2020,17.85,18.360001,17.84,18.27,18.102787,8267200
07-08-2020,18.24,18.469999,18.16,18.469999,18.300955,6897500
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,18.5,19.040001,18.49,18.98,18.806288,8436300
11-08-2020,19,19.43,18.48,18.57,18.40004,10594000
12-08-2020,18.809999,18.860001,18.4,18.799999,18.627935,9132400
13-08-2020,18.549999,18.719999,18.35,18.379999,18.211779,9263200
14-08-2020,18.280001,18.35,18.040001,18.18,18.013611,11523000
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,18.24,18.33,17.9,17.950001,17.785715,12917000
18-08-2020,17.940001,18.27,17.809999,18.24,18.073061,8279000
19-08-2020,18.299999,18.49,18.09,18.139999,17.973976,6196900
20-08-2020,18,18.219999,17.969999,18.15,17.983885,5865500
21-08-2020,18.110001,18.299999,17.950001,18.23,18.063152,7473800
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,18.42,18.83,18.42,18.65,18.479309,5670000
25-08-2020,18.719999,18.799999,18.299999,18.440001,18.271231,7465100
26-08-2020,18.5,18.58,18.299999,18.33,18.162237,10461000
27-08-2020,18.5,18.860001,18.35,18.700001,18.528852,14543400
28-08-2020,19.280001,20.18,18.85,19.85,19.668325,22607800
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,19.799999,20.17,19.549999,19.549999,19.371071,18537600
