Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,266.730011,268.579987,265.670013,266.179993,263.347748,2363500
04-08-2020,266.630005,267.890015,263.839996,267.869995,265.019745,2224000
05-08-2020,268.390015,268.390015,265.890015,267.480011,264.633911,1963900
06-08-2020,266.600006,270.440002,266.529999,269.369995,266.503784,2203400
07-08-2020,270.609985,274.920013,269.809998,271.640015,268.749634,2845200
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,272.420013,275.000000,271.799988,274.730011,271.806763,2393100
11-08-2020,277.690002,279.369995,274.410004,274.920013,271.994751,3321300
12-08-2020,279.750000,282.970001,276.959991,281.579987,278.583832,3870000
13-08-2020,281.160004,282.649994,279.739990,281.660004,278.663025,2202400
14-08-2020,281.140015,282.000000,279.190002,280.549988,277.564789,2490400
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,284.399994,289.220001,283.570007,288.239990,285.173004,5584400
18-08-2020,288.899994,290.579987,283.040009,285.000000,281.967499,6934300
19-08-2020,287.459991,287.970001,281.929993,282.859985,279.850220,4986800
20-08-2020,280.540009,281.910004,279.440002,280.679993,277.693420,3530000
21-08-2020,279.970001,283.549988,278.420013,283.230011,280.216339,5519100
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,284.989990,286.850006,281.920013,286.750000,283.698853,4430900
25-08-2020,287.269989,287.480011,283.890015,286.130005,283.085449,2854500
26-08-2020,287.730011,292.119995,286.269989,291.929993,288.823730,4001900
27-08-2020,292.220001,292.950012,286.559998,288.630005,285.558868,3430900
28-08-2020,288.309998,288.829987,284.769989,286.290009,283.243774,3100100
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,285.000000,286.690002,282.869995,285.040009,282.007080,4105400
