Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,194.000000,194.000000,191.899994,192.600006,192.600006,13265411
04-08-2020,192.600006,195.800003,192.600006,193.649994,193.649994,17187619
05-08-2020,194.500000,194.600006,191.699997,192.800003,192.800003,48768332
06-08-2020,194.199997,195.600006,193.100006,195.350006,195.350006,17886089
07-08-2020,195.500000,197.000000,194.149994,196.050003,196.050003,20911818
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,196.399994,199.649994,196.399994,198.850006,198.850006,16474505
11-08-2020,200.000000,207.699997,200.000000,203.050003,203.050003,55142972
12-08-2020,202.500000,204.899994,200.399994,204.199997,204.199997,21287010
13-08-2020,203.500000,204.199997,197.100006,201.449997,201.449997,22698888
14-08-2020,201.600006,203.350006,195.500000,196.399994,196.399994,28751298
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,198.050003,199.500000,196.850006,198.750000,198.750000,11740766
18-08-2020,199.899994,199.899994,197.250000,198.550003,198.550003,12488159
19-08-2020,198.600006,201.699997,198.100006,198.449997,198.449997,15474353
20-08-2020,197.000000,197.199997,194.550003,195.800003,195.800003,16910449
21-08-2020,198.000000,199.199997,196.300003,196.800003,196.800003,17233813
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,197.250000,199.000000,196.350006,196.699997,196.699997,14737317
25-08-2020,197.250000,198.300003,195.100006,195.399994,195.399994,15199264
26-08-2020,196.500000,196.550003,193.649994,194.949997,194.949997,22631175
27-08-2020,198.500000,198.899994,193.899994,194.250000,194.250000,47212216
28-08-2020,194.600006,196.300003,194.050003,195.550003,195.550003,34645487
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,n,n,n,n,n,n
