Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,88.349998,88.349998,85.400002,86.199997,86.199997,31445434
04-08-2020,86.300003,87.449997,85.800003,86.949997,86.949997,25498364
05-08-2020,87.000000,88.050003,86.300003,86.599998,86.599998,21667810
06-08-2020,86.800003,88.199997,86.300003,87.199997,87.199997,19663435
07-08-2020,87.699997,88.400002,85.650002,86.400002,86.400002,22269552
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,86.599998,87.699997,86.199997,87.099998,87.099998,16255527
11-08-2020,87.199997,88.199997,86.900002,87.050003,87.050003,16716920
12-08-2020,87.050003,87.250000,85.699997,85.849998,85.849998,21486428
13-08-2020,86.400002,87.050003,85.949997,86.849998,86.849998,11778284
14-08-2020,87.500000,87.500000,84.550003,84.800003,84.800003,19898082
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,85.250000,87.750000,85.150002,87.550003,87.550003,19481366
18-08-2020,87.099998,87.900002,86.650002,87.000000,87.000000,13544570
19-08-2020,87.099998,89.000000,87.099998,88.000000,88.000000,24450800
20-08-2020,87.900002,89.699997,87.099998,89.050003,89.050003,32144561
21-08-2020,89.949997,90.449997,88.599998,88.849998,88.849998,19033991
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,88.949997,89.400002,88.099998,88.349998,88.349998,9738834
25-08-2020,88.349998,89.050003,87.599998,88.300003,88.300003,19546593
26-08-2020,88.800003,88.849998,87.599998,87.900002,87.900002,16122930
27-08-2020,88.150002,88.400002,87.050003,87.199997,87.199997,15443149
28-08-2020,87.800003,89.000000,87.400002,87.800003,87.800003,17609340
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,n,n,n,n,n,n
