Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,913.000000,919.750000,903.549988,915.900024,890.727722,3583167
04-08-2020,918.000000,930.000000,916.599976,924.250000,898.848267,3860346
05-08-2020,923.950012,934.500000,920.799988,925.750000,908.167847,3007723
06-08-2020,926.049988,933.700012,920.250000,922.150024,904.636230,2188023
07-08-2020,922.549988,926.849976,914.099976,915.650024,898.259644,2461109
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,925.000000,970.000000,925.000000,960.049988,941.816345,11861641
11-08-2020,969.599976,979.700012,957.099976,961.900024,943.631287,5427516
12-08-2020,952.000000,956.000000,945.000000,949.750000,931.711975,3672458
13-08-2020,957.000000,993.650024,951.549988,990.700012,971.884277,8816193
14-08-2020,999.950012,1017.000000,973.400024,982.799988,964.134277,13443785
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,1002.000000,1007.000000,987.700012,1000.799988,981.792419,4735094
18-08-2020,1005.950012,1008.000000,995.400024,1004.549988,985.471191,4362050
19-08-2020,1017.250000,1024.949951,1005.400024,1009.099976,989.934753,4914223
20-08-2020,986.000000,1005.000000,981.000000,995.750000,976.838379,4791040
21-08-2020,1010.000000,1010.000000,992.000000,994.150024,975.268738,2806380
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,996.000000,1001.400024,990.000000,991.349976,972.521912,2026255
25-08-2020,993.000000,999.900024,977.799988,980.400024,961.779907,2914757
26-08-2020,987.000000,988.000000,965.000000,968.950012,950.547363,4482066
27-08-2020,975.250000,980.000000,965.299988,975.599976,957.071045,4466609
28-08-2020,988.000000,1004.700012,978.200012,981.849976,963.202332,7821191
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,n,n,n,n,n,n
