Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,311.000000,313.500000,309.299988,312.589996,311.831116,3907800
04-08-2020,312.500000,315.690002,311.100006,314.390015,313.626801,3409200
05-08-2020,316.369995,329.679993,315.869995,328.000000,327.203735,5799100
06-08-2020,327.399994,331.220001,325.899994,330.140015,329.338531,4839800
07-08-2020,328.000000,328.329987,323.929993,328.019989,327.223663,3662500
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,327.190002,329.739990,321.859985,322.880005,322.096191,3752100
11-08-2020,325.000000,334.549988,323.579987,328.540009,327.742432,5273300
12-08-2020,328.660004,331.399994,326.200012,327.630005,326.834625,3126700
13-08-2020,325.929993,329.829987,325.619995,326.190002,325.398132,2526700
14-08-2020,325.670013,327.640015,324.809998,326.799988,326.006622,1444900
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,327.000000,331.230011,326.679993,330.230011,329.428345,2904100
18-08-2020,330.200012,331.399994,326.350006,331.000000,330.196442,3021700
19-08-2020,330.040009,334.459991,330.000000,332.399994,331.593048,3421000
20-08-2020,330.190002,338.000000,330.190002,337.320007,336.501099,2966000
21-08-2020,338.000000,338.799988,335.970001,337.100006,336.281647,2680900
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,339.359985,343.829987,338.750000,343.640015,342.805756,2753900
25-08-2020,344.709991,348.459991,343.329987,347.660004,346.816010,2862700
26-08-2020,348.000000,352.290009,345.500000,351.019989,350.167816,3512000
27-08-2020,351.730011,358.000000,350.579987,356.000000,355.135773,3811700
28-08-2020,357.480011,367.250000,356.160004,366.119995,365.231201,3544700
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,366.630005,366.630005,357.690002,358.190002,357.320435,3948200
