Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,155.660004,160.389999,154.539993,159.899994,159.091446,1452000
04-08-2020,159.000000,159.309998,156.000000,157.020004,156.226028,1051300
05-08-2020,158.029999,158.250000,152.750000,153.669998,152.892960,1234100
06-08-2020,152.639999,153.520004,151.020004,151.750000,150.982666,1216600
07-08-2020,150.830002,152.110001,150.729996,152.000000,151.231400,569000
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,151.940002,153.779999,150.770004,152.389999,151.619431,816500
11-08-2020,153.270004,154.130005,150.669998,151.309998,150.544891,892000
12-08-2020,152.000000,154.610001,150.949997,153.000000,152.226349,920100
13-08-2020,152.100006,152.330002,149.029999,152.190002,151.420441,874800
14-08-2020,151.369995,160.000000,151.059998,158.669998,157.867676,3209700
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,160.000000,160.080002,155.589996,155.789993,155.002228,1069400
18-08-2020,155.580002,157.300003,155.389999,155.539993,154.753494,727500
19-08-2020,155.360001,156.169998,152.970001,153.339996,152.564636,599700
20-08-2020,151.960007,153.070007,151.429993,151.889999,151.121948,629500
21-08-2020,151.470001,151.970001,149.649994,150.970001,150.206604,1335900
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,151.960007,152.000000,148.039993,149.660004,148.903229,783600
25-08-2020,150.080002,152.300003,148.809998,152.000000,151.231400,669100
26-08-2020,150.960007,152.550003,149.750000,152.080002,151.310989,587800
27-08-2020,152.429993,155.360001,150.660004,154.259995,153.479965,935000
28-08-2020,154.259995,154.580002,152.229996,153.869995,153.091949,517500
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,153.130005,155.100006,152.240005,153.440002,153.081970,952200
