Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,168.000000,171.679993,165.000000,170.910004,168.839371,301700
04-08-2020,169.990005,175.360001,168.410004,174.419998,172.306839,229900
05-08-2020,176.320007,183.539993,174.940002,182.679993,180.466766,323600
06-08-2020,177.699997,177.699997,159.199997,164.440002,162.447754,693900
07-08-2020,163.940002,167.029999,160.559998,163.419998,161.440109,264000
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,164.369995,168.160004,162.800003,165.699997,163.692490,303800
11-08-2020,166.429993,168.820007,161.830002,162.789993,160.817734,195600
12-08-2020,164.220001,166.369995,163.190002,163.539993,161.558655,165100
13-08-2020,164.889999,168.529999,164.309998,165.539993,163.534424,233300
14-08-2020,165.199997,165.850006,161.020004,162.919998,160.946167,149800
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,163.220001,163.919998,158.539993,161.800003,159.839737,640800
18-08-2020,161.470001,164.919998,161.300003,162.380005,160.412720,257600
19-08-2020,162.169998,164.500000,161.669998,162.169998,160.205246,242000
20-08-2020,161.119995,165.000000,159.050003,163.880005,161.894547,378500
21-08-2020,163.039993,166.339996,162.509995,165.220001,163.218292,143400
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,166.729996,167.309998,161.000000,162.330002,160.363312,166200
25-08-2020,162.669998,167.770004,160.100006,166.399994,164.384003,171400
26-08-2020,165.839996,168.740005,164.589996,165.259995,163.257813,130500
27-08-2020,165.940002,167.690002,162.369995,165.880005,163.870316,177300
28-08-2020,166.490005,169.509995,165.350006,166.720001,164.700119,237400
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,167.789993,167.899994,162.000000,162.720001,160.748596,477900
