Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,82.150002,83.800003,81.860001,82.540001,81.301971,10115900
04-08-2020,82.550003,82.550003,81.070000,81.669998,80.445015,6888100
05-08-2020,82.070000,82.470001,81.150002,81.639999,80.415474,6198400
06-08-2020,81.459999,82.389999,80.580002,81.050003,79.834328,6924200
07-08-2020,80.790001,81.019997,80.029999,81.019997,79.804771,6656600
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,81.010002,81.209999,80.300003,80.910004,79.696426,5517600
11-08-2020,81.750000,81.870003,80.629997,80.910004,79.696426,7286900
12-08-2020,81.370003,82.910004,81.339996,82.680000,81.439873,6962700
13-08-2020,82.129997,83.629997,82.010002,83.540001,82.286972,7113800
14-08-2020,83.379997,84.430000,83.169998,83.480003,82.227875,7052000
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,84.279999,85.180000,84.010002,84.760002,83.488678,8362900
18-08-2020,84.889999,85.010002,83.769997,84.559998,83.291672,6251500
19-08-2020,84.559998,85.709999,84.559998,85.029999,83.754623,6580200
20-08-2020,84.800003,85.309998,84.389999,85.029999,83.754623,6088200
21-08-2020,85.099998,85.180000,84.120003,84.980003,83.705376,6574900
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,85.199997,85.470001,84.480003,85.419998,84.138771,7235000
25-08-2020,85.910004,86.290001,85.199997,85.680000,84.394875,9776700
26-08-2020,85.309998,85.680000,84.660004,85.540001,84.256973,7484900
27-08-2020,85.449997,86.160004,85.080002,85.820000,84.532768,6168800
28-08-2020,85.879997,85.879997,84.910004,85.650002,84.365326,5853100
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,85.599998,85.930000,85.139999,85.269997,83.991020,7566100
