Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,37.470001,37.980000,37.049999,37.299999,36.846684,3982500
04-08-2020,37.200001,37.310001,36.820000,36.900002,36.451550,4227400
05-08-2020,37.439999,38.459999,37.320000,38.279999,37.814774,6111400
06-08-2020,37.490002,38.459999,36.930000,36.980000,36.530575,7612100
07-08-2020,36.919998,38.919998,36.570000,38.720001,38.249428,8485600
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,38.889999,39.970001,38.889999,39.779999,39.296543,7439800
11-08-2020,40.939999,41.470001,40.540001,40.570000,40.076942,9162900
12-08-2020,41.480000,41.480000,39.529999,40.040001,39.553387,5930600
13-08-2020,39.500000,39.980000,39.130001,39.439999,38.960674,4629900
14-08-2020,39.110001,39.790001,38.980000,39.610001,39.128613,6627700
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,39.680000,39.700001,38.779999,38.880001,38.407486,3684500
18-08-2020,38.889999,39.189999,38.180000,38.310001,37.844414,4592700
19-08-2020,38.320000,39.009998,38.119999,38.200001,37.735748,4789000
20-08-2020,37.810001,38.099998,37.509998,37.619999,37.162796,3550900
21-08-2020,37.610001,37.980000,37.160000,37.279999,36.826927,4503400
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,37.459999,38.639999,37.270000,38.619999,38.150642,8843400
25-08-2020,39.070000,39.320000,38.410000,38.660000,38.190155,4100200
26-08-2020,38.560001,38.650002,38.189999,38.320000,37.854290,4160000
27-08-2020,38.459999,39.369999,38.360001,39.070000,38.595173,3444400
28-08-2020,39.520000,39.540001,38.889999,39.419998,38.940918,2884900
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,39.240002,39.340000,38.419998,38.459999,37.992588,6713700
