Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,2.860000,2.920000,2.830000,2.890000,2.890000,643300
04-08-2020,2.900000,2.970000,2.890000,2.970000,2.970000,1063500
05-08-2020,2.940000,2.970000,2.930000,2.950000,2.950000,449900
06-08-2020,2.930000,2.970000,2.930000,2.960000,2.960000,481500
07-08-2020,2.880000,2.960000,2.870000,2.950000,2.950000,532600
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,2.960000,3.020000,2.960000,3.020000,3.020000,542300
11-08-2020,3.100000,3.170000,3.090000,3.110000,3.110000,1101500
12-08-2020,3.190000,3.200000,3.080000,3.110000,3.110000,465300
13-08-2020,3.070000,3.070000,3.020000,3.040000,3.040000,802500
14-08-2020,3.010000,3.080000,3.010000,3.050000,3.050000,462200
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,3.020000,3.030000,2.970000,2.990000,2.990000,455600
18-08-2020,3.000000,3.010000,2.950000,2.970000,2.970000,526500
19-08-2020,3.000000,3.050000,2.980000,2.990000,2.990000,456500
20-08-2020,2.960000,2.990000,2.930000,2.950000,2.950000,716100
21-08-2020,2.900000,2.950000,2.900000,2.930000,2.930000,424900
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,2.910000,2.990000,2.900000,2.980000,2.980000,746900
25-08-2020,2.980000,3.010000,2.930000,2.970000,2.970000,489000
26-08-2020,3.010000,3.030000,2.990000,3.000000,3.000000,450700
27-08-2020,2.990000,3.020000,2.940000,2.940000,2.940000,820300
28-08-2020,3.010000,3.020000,2.980000,2.990000,2.990000,3478200
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,n,n,n,n,n,n
