Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,490.859985,503.089996,490.230011,498.619995,498.619995,5873100
04-08-2020,498.649994,510.440002,498.649994,509.640015,509.640015,5608000
05-08-2020,508.679993,510.100006,501.200012,502.109985,502.109985,4313500
06-08-2020,504.109985,510.820007,498.700012,509.079987,509.079987,3725900
07-08-2020,505.450012,508.290009,486.679993,494.730011,494.730011,5906700
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,493.350006,497.459991,478.630005,483.380005,483.380005,4691200
11-08-2020,479.75,480.920013,466.549988,466.929993,466.929993,7329200
12-08-2020,471.339996,482.48999,470.179993,475.470001,475.470001,5441200
13-08-2020,478.399994,484.450012,476.450012,481.329987,481.329987,3008900
14-08-2020,482.820007,488.329987,480.209991,482.679993,482.679993,2943500
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,484.190002,486.23999,479.100006,482.350006,482.350006,2423500
18-08-2020,484.350006,495.299988,482.799988,491.869995,491.869995,3505500
19-08-2020,493.929993,494.5,483.5,484.529999,484.529999,3156200
20-08-2020,484.690002,498.940002,483.890015,497.899994,497.899994,5132500
21-08-2020,496.459991,498.130005,490,492.309998,492.309998,3921300
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,495.440002,501,483.160004,488.809998,488.809998,4762200
25-08-2020,488.190002,492.470001,485.089996,490.579987,490.579987,5727700
26-08-2020,492.5,549.039978,492.079987,547.530029,547.530029,20373700
27-08-2020,537.780029,541,521.25,526.27002,526.27002,9062900
28-08-2020,532,539,522,523.890015,523.890015,4417500
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,521.159973,531.98999,517.580017,529.559998,529.559998,4941400
