Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,55.490002,56.029999,55,55.959999,55.959999,289000
04-08-2020,55.889999,57.25,55.889999,57.049999,57.049999,733200
05-08-2020,58.299999,58.790001,58.200001,58.740002,58.740002,644800
06-08-2020,61.900002,62.200001,59.5,61.32,61.32,1084400
07-08-2020,59.599998,59.700001,59.110001,59.130001,59.130001,400900
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,60.200001,60.200001,59.110001,59.25,59.25,356600
11-08-2020,59.299999,59.299999,58.400002,58.450001,58.450001,338200
12-08-2020,59.470001,60.099998,59.049999,60.07,60.07,447800
13-08-2020,59.040001,60.5,59.040001,59.950001,59.950001,150200
14-08-2020,59,60.450001,59,59.959999,59.959999,105400
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,60.119999,61.080002,60.119999,60.919998,60.919998,244300
18-08-2020,62.700001,63.119999,62.700001,63.049999,63.049999,490000
19-08-2020,63.200001,63.650002,62.900002,63.200001,63.200001,413300
20-08-2020,63,63.5,62.91,63.099998,63.099998,790600
21-08-2020,63.93,64.739998,63.93,64.309998,64.309998,918500
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,67.599998,68.269997,67.599998,68.080002,68.080002,626700
25-08-2020,66.160004,66.489998,65.699997,66.400002,66.400002,1791300
26-08-2020,67.300003,68.699997,67.300003,68.650002,68.650002,1062800
27-08-2020,67.800003,68.339996,67.110001,67.540001,67.540001,946500
28-08-2020,67.099998,67.360001,66.849998,67.239998,67.239998,797000
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,67.230003,67.5,66.949997,67.370003,67.370003,687000
