Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,4.960000,5.130000,4.940000,5.060000,5.060000,62489200
04-08-2020,5.040000,5.140000,5.010000,5.100000,5.100000,42735100
05-08-2020,5.070000,5.100000,4.990000,5.000000,5.000000,36336500
06-08-2020,4.970000,5.010000,4.950000,5.000000,5.000000,30262600
07-08-2020,4.950000,4.990000,4.930000,4.980000,4.980000,21392500
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,4.960000,4.970000,4.880000,4.910000,4.910000,21177600
11-08-2020,4.950000,5.050000,4.920000,4.960000,4.960000,40259300
12-08-2020,5.060000,5.080000,5.010000,5.050000,5.050000,21697800
13-08-2020,5.030000,5.080000,5.000000,5.060000,5.060000,21989500
14-08-2020,5.010000,5.020000,4.970000,5.000000,5.000000,18991900
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,5.040000,5.090000,5.010000,5.070000,5.070000,24050200
18-08-2020,5.130000,5.140000,5.030000,5.090000,5.090000,18338100
19-08-2020,5.100000,5.110000,5.010000,5.040000,5.040000,20351200
20-08-2020,4.990000,5.060000,4.990000,5.050000,5.050000,15366400
21-08-2020,4.940000,5.000000,4.940000,4.970000,4.970000,15015100
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,5.060000,5.060000,5.000000,5.030000,5.030000,12604400
25-08-2020,5.060000,5.080000,5.000000,5.040000,5.040000,13587400
26-08-2020,5.050000,5.070000,5.020000,5.050000,5.050000,19752400
27-08-2020,5.020000,5.050000,4.960000,5.010000,5.010000,25348600
28-08-2020,4.990000,5.020000,4.930000,4.970000,4.970000,20820200
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,n,n,n,n,n,n
