Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,55.779999,56.090000,55.490002,55.980000,55.541702,9164900
04-08-2020,55.779999,56.009998,55.529999,56.000000,55.561546,6364300
05-08-2020,56.320000,56.320000,55.380001,55.500000,55.065464,6629000
06-08-2020,55.490002,55.599998,54.939999,55.279999,54.847187,8169600
07-08-2020,55.009998,55.240002,54.759998,55.230000,54.797577,8772300
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,55.240002,55.619999,54.880001,54.939999,54.509846,10046900
11-08-2020,55.240002,55.459999,54.139999,54.270000,53.845093,8075100
12-08-2020,54.520000,54.700001,53.970001,54.169998,53.745876,9068200
13-08-2020,53.910000,54.200001,53.680000,54.020000,53.597054,8260300
14-08-2020,54.029999,54.560001,53.770000,54.200001,53.775642,5454400
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,54.200001,54.389999,53.660000,53.990002,53.567287,9523700
18-08-2020,55.619999,56.930000,54.869999,55.180000,54.747971,21102600
19-08-2020,55.580002,56.799999,55.459999,56.200001,55.759983,16751500
20-08-2020,55.590000,55.810001,55.090000,55.259998,54.827343,10974800
21-08-2020,55.380001,55.450001,54.730000,55.189999,54.757889,9552000
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,55.759998,56.110001,55.439999,56.009998,55.571468,7892100
25-08-2020,56.150002,56.750000,56.020000,56.090000,55.650845,7427000
26-08-2020,56.340000,57.490002,56.060001,57.490002,57.039883,11597600
27-08-2020,57.450001,58.450001,56.580002,57.180000,56.732311,15834700
28-08-2020,57.330002,58.160000,57.209999,57.880001,57.426830,8613800
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,57.130001,57.759998,57.040001,57.220001,56.771996,18683500
