Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,198.25,199.399994,195.220001,197.070007,197.070007,7958700
04-08-2020,196.350006,199.100006,195.520996,197.330002,197.330002,5771600
05-08-2020,199,204.229996,198.089996,202.910004,202.910004,7565800
06-08-2020,202,204.160004,198.880005,204.089996,204.089996,5821400
07-08-2020,203.710007,203.951004,196.699997,198.630005,198.630005,6521200
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,198.699997,199.850006,191.690002,193.320007,193.320007,8792200
11-08-2020,192,193.535004,186.520004,189.029999,189.029999,9155300
12-08-2020,190,192.509995,189.399994,191.320007,191.320007,7940000
13-08-2020,192.100006,195.130005,191.479996,193.070007,193.070007,10082400
14-08-2020,195.190002,195.468994,190.509995,191.460007,191.460007,4848000
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,193.919998,197.419998,193.25,196.289993,196.289993,6279300
18-08-2020,197.729996,198.75,194,194.570007,194.570007,5362500
19-08-2020,195.059998,196.839996,191.919998,192.440002,192.440002,6865300
20-08-2020,192.059998,198.699997,191.509995,198.179993,198.179993,6773000
21-08-2020,197.929993,199.100006,196.220001,196.789993,196.789993,6092500
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,200,201.098999,196.570007,198.880005,198.880005,5404100
25-08-2020,198.490005,201.960007,196.240005,201.669998,201.669998,5108200
26-08-2020,202.529999,205.350006,200.25,203.479996,203.479996,6072200
27-08-2020,206.809998,207,202.300003,204.339996,204.339996,6051900
28-08-2020,205.416,205.416,202.419998,204.479996,204.479996,4581300
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,203.699997,205.251999,202.298004,204.139999,204.139999,5628700
