Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,107.400002,113.000000,107.029999,109.589996,108.537735,18899400
04-08-2020,109.489998,111.019997,108.660004,110.949997,109.884674,10205400
05-08-2020,111.000000,112.459999,110.080002,111.389999,110.320465,7970400
06-08-2020,111.230003,111.360001,109.930000,111.059998,109.993622,6392200
07-08-2020,110.010002,111.050003,106.000000,108.250000,107.210609,11154400
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,108.599998,108.989998,105.720001,106.360001,105.338760,10087100
11-08-2020,106.199997,112.010002,104.739998,108.830002,107.785042,17803000
12-08-2020,110.389999,116.250000,109.650002,115.790001,114.678207,18672300
13-08-2020,116.199997,116.199997,112.769997,113.410004,112.321068,9958400
14-08-2020,113.300003,114.519997,112.570000,113.739998,112.647896,6641000
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,113.290001,114.489998,110.629997,112.180000,111.102875,10283000
18-08-2020,112.910004,113.379997,111.519997,112.029999,110.954315,6387000
19-08-2020,112.330002,113.470001,110.750000,111.040001,109.973824,7747600
20-08-2020,110.000000,110.980003,109.669998,110.660004,109.597473,7200300
21-08-2020,110.230003,113.150002,109.949997,113.000000,111.915001,8546900
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,114.370003,116.000000,113.269997,115.910004,114.797066,10235000
25-08-2020,116.110001,117.099998,114.440002,115.949997,114.836670,6208000
26-08-2020,116.250000,116.550003,115.169998,116.040001,114.925812,7487400
27-08-2020,116.430000,118.180000,115.349998,116.019997,114.905998,8206200
28-08-2020,116.709999,118.260002,116.169998,118.199997,117.065071,6280300
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,118.330002,121.059998,118.120003,119.099998,117.956429,9694600
