Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,28.389999,28.76,28.23,28.709999,28.417414,3103400
04-08-2020,29.34,29.93,29.26,29.84,29.535898,3249100
05-08-2020,30.27,30.5,29.85,29.92,29.615084,2885800
06-08-2020,29.65,29.91,29.549999,29.780001,29.476511,2373000
07-08-2020,29.110001,29.43,29.01,29.41,29.110281,2118200
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,29.639999,29.940001,29.549999,29.940001,29.63488,2335700
11-08-2020,30.85,30.98,30.290001,30.35,30.040701,5884100
12-08-2020,31.389999,31.57,31.1,31.4,31.08,4847000
13-08-2020,30.719999,30.77,29.959999,30,30,2983900
14-08-2020,29.4,29.709999,29.32,29.59,29.59,2337900
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,29.530001,29.639999,29.24,29.379999,29.379999,2112000
18-08-2020,29.309999,29.6,29.02,29.02,29.02,1843600
19-08-2020,29,29.25,28.74,28.790001,28.790001,1926300
20-08-2020,28.610001,28.790001,28.370001,28.5,28.5,3023800
21-08-2020,28.129999,28.17,27.92,28.02,28.02,3084700
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,28.690001,29.16,28.51,28.91,28.91,2576900
25-08-2020,29.09,29.129999,28.23,28.49,28.49,2526100
26-08-2020,28.370001,28.6,28.26,28.5,28.5,2824700
27-08-2020,28.41,28.559999,28.030001,28.23,28.23,2963000
28-08-2020,28.42,28.690001,28.27,28.639999,28.639999,2576300
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,28.6,28.700001,28.1,28.1,28.1,2309300
