Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,54.570000,54.610001,53.880001,54.009998,52.843784,3927600
04-08-2020,53.880001,54.730000,53.799999,54.439999,53.264500,3803600
05-08-2020,54.599998,54.639999,53.279999,53.400002,52.246956,4557700
06-08-2020,53.299999,54.070000,53.070000,53.889999,52.726376,2713500
07-08-2020,53.560001,54.930000,53.560001,54.689999,53.509102,3145000
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,54.840000,55.369999,54.580002,55.070000,53.880898,2255500
11-08-2020,55.270000,55.380001,54.029999,54.189999,53.019897,5215700
12-08-2020,54.520000,55.389999,54.250000,54.860001,53.675434,4673200
13-08-2020,54.619999,55.049999,54.450001,55.009998,53.822189,3926100
14-08-2020,54.150002,54.250000,53.419998,53.560001,53.020355,3122000
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,53.560001,54.029999,53.250000,53.590000,53.050049,2725500
18-08-2020,53.580002,53.730000,52.830002,53.049999,52.515491,6647500
19-08-2020,53.369999,53.480000,52.939999,53.189999,52.654079,2594200
20-08-2020,52.849998,53.119999,52.080002,52.250000,51.723553,3309500
21-08-2020,52.459999,52.549999,51.860001,52.369999,51.842342,3536900
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,52.389999,52.950001,51.970001,52.860001,52.327408,3386100
25-08-2020,53.029999,53.060001,52.189999,52.410000,51.881939,2409100
26-08-2020,52.009998,52.220001,51.459999,51.720001,51.198895,3015300
27-08-2020,51.750000,52.360001,51.650002,52.200001,51.674057,3543000
28-08-2020,52.299999,52.509998,51.860001,52.419998,51.891838,2867000
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,52.110001,52.650002,52.040001,52.180000,51.654259,3863500
