Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,7.400000,7.530000,7.310000,7.450000,7.450000,3171000
04-08-2020,7.410000,7.600000,7.340000,7.540000,7.540000,1710200
05-08-2020,7.740000,7.860000,7.720000,7.820000,7.820000,1763500
06-08-2020,7.820000,7.890000,7.810000,7.850000,7.850000,919300
07-08-2020,7.850000,7.940000,7.810000,7.920000,7.920000,1571400
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,8.050000,8.250000,7.990000,8.210000,8.210000,2599400
11-08-2020,8.230000,8.240000,8.070000,8.100000,8.100000,1478000
12-08-2020,8.440000,8.470000,8.350000,8.380000,8.380000,1393400
13-08-2020,8.630000,8.800000,8.610000,8.720000,8.720000,2018100
14-08-2020,8.320000,8.320000,8.160000,8.270000,8.270000,2103800
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,8.140000,8.270000,8.140000,8.210000,8.210000,1065800
18-08-2020,8.320000,8.470000,8.300000,8.390000,8.390000,1075800
19-08-2020,8.320000,8.410000,8.300000,8.330000,8.330000,872100
20-08-2020,8.080000,8.230000,8.050000,8.220000,8.220000,804400
21-08-2020,8.080000,8.160000,8.060000,8.120000,8.120000,1047600
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,8.240000,8.270000,8.180000,8.240000,8.240000,816100
25-08-2020,8.510000,8.730000,8.510000,8.670000,8.670000,1734100
26-08-2020,9.270000,9.740000,9.250000,9.650000,9.650000,5621200
27-08-2020,9.940000,9.960000,9.540000,9.650000,9.650000,2091000
28-08-2020,9.670000,9.880000,9.660000,9.770000,9.770000,1099300
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,n,n,n,n,n,n
