Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,128.149994,129.500000,127.680000,129.320007,128.397583,4311800
04-08-2020,129.039993,132.330002,128.710007,132.229996,131.286819,5361500
05-08-2020,130.500000,132.789993,130.479996,132.699997,131.753464,4370200
06-08-2020,132.589996,133.820007,132.029999,133.740005,132.786057,2961800
07-08-2020,133.740005,134.110001,132.470001,133.559998,132.607330,2856200
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,133.220001,135.809998,132.470001,135.410004,134.444138,5526400
11-08-2020,136.809998,138.830002,135.649994,136.039993,135.069641,5383800
12-08-2020,137.470001,139.139999,136.649994,138.639999,137.651093,3073700
13-08-2020,138.110001,138.600006,136.949997,137.149994,136.171722,2945100
14-08-2020,137.729996,138.309998,137.000000,137.350006,136.370300,2062900
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,137.860001,139.240005,137.630005,138.279999,137.293671,2380400
18-08-2020,138.960007,139.460007,138.199997,139.309998,138.316315,2760400
19-08-2020,139.669998,140.880005,138.029999,138.479996,137.492233,3803200
20-08-2020,137.309998,139.130005,136.619995,138.570007,137.581604,2761200
21-08-2020,138.119995,140.490005,137.190002,140.330002,139.329041,4382500
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,140.860001,141.809998,139.919998,141.020004,140.014130,2841300
25-08-2020,141.580002,142.220001,140.979996,141.660004,140.649551,2840700
26-08-2020,141.320007,142.690002,141.119995,142.449997,141.433914,2974100
27-08-2020,143.059998,143.229996,140.520004,141.490005,140.480774,2801000
28-08-2020,141.509995,143.589996,141.100006,143.490005,142.466507,2884700
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,142.649994,143.270004,141.820007,142.149994,141.136047,4344600
