Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,106.019997,106.019997,106.019997,106.019997,104.833443,0
04-08-2020,106.160004,106.160004,106.160004,106.160004,104.971886,45
05-08-2020,105.919998,105.919998,105.919998,105.919998,104.734566,0
06-08-2020,105.000000,105.120003,105.000000,105.120003,103.943520,0
07-08-2020,105.000000,105.000000,105.000000,105.000000,103.824860,0
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,105.419998,106.699997,105.419998,106.699997,105.505836,50
11-08-2020,106.199997,106.620003,106.199997,106.620003,105.426735,5
12-08-2020,106.160004,106.160004,106.160004,106.160004,104.971886,0
13-08-2020,105.080002,106.000000,105.080002,106.000000,104.813675,5
14-08-2020,105.220001,105.320000,105.220001,105.320000,104.141281,50
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,105.000000,105.000000,105.000000,105.000000,103.824860,0
18-08-2020,105.019997,105.019997,105.000000,105.000000,103.824860,5
19-08-2020,105.160004,105.160004,105.160004,105.160004,103.983078,0
20-08-2020,106.800003,106.800003,106.800003,106.800003,105.604721,0
21-08-2020,106.339996,106.339996,106.339996,106.339996,105.149864,0
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,106.339996,106.339996,106.339996,106.339996,105.149864,0
25-08-2020,106.339996,106.339996,106.339996,106.339996,105.149864,0
26-08-2020,106.339996,106.339996,106.339996,106.339996,105.149864,0
27-08-2020,102.220001,104.540001,102.220001,104.540001,103.370018,120
28-08-2020,103.559998,105.059998,103.559998,105.059998,103.884186,50
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,n,n,n,n,n,n
