Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,30.920000,30.920000,30.920000,30.920000,30.445135,0
04-08-2020,31.040001,31.040001,31.040001,31.040001,30.563295,0
05-08-2020,31.120001,31.120001,31.120001,31.120001,30.642065,0
06-08-2020,31.520000,31.520000,31.520000,31.520000,31.035923,0
07-08-2020,31.170000,31.170000,31.170000,31.170000,30.691298,0
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,31.020000,31.020000,31.020000,31.020000,30.543600,0
11-08-2020,30.430000,30.430000,30.430000,30.430000,29.962662,0
12-08-2020,31.219999,31.219999,31.219999,31.219999,30.740528,0
13-08-2020,31.280001,31.280001,31.280001,31.280001,30.799608,0
14-08-2020,31.240000,31.240000,31.240000,31.240000,30.760221,0
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,31.590000,31.590000,31.590000,31.590000,31.104845,0
18-08-2020,31.900000,31.900000,31.900000,31.900000,31.410086,0
19-08-2020,31.680000,31.680000,31.680000,31.680000,31.193464,0
20-08-2020,32.130001,32.130001,32.130001,32.130001,31.636555,0
21-08-2020,32.340000,32.340000,32.340000,32.340000,31.843328,0
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,32.540001,32.540001,32.540001,32.540001,32.040257,0
25-08-2020,32.810001,32.810001,32.810001,32.810001,32.306110,0
26-08-2020,33.509998,33.509998,33.509998,33.509998,32.995358,0
27-08-2020,33.380001,33.380001,33.380001,33.380001,32.867355,0
28-08-2020,33.580002,33.580002,33.580002,33.580002,33.064285,0
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,33.900002,33.900002,33.900002,33.900002,33.379372,0
