Date,Open,High,Low,Close,Adj Close,Volume
01-08-2020,n,n,n,n,n,n
02-08-2020,n,n,n,n,n,n
03-08-2020,16.150000,16.340000,16.100000,16.250000,15.731539,307300
04-08-2020,16.690001,16.980000,16.690001,16.980000,16.438248,73700
05-08-2020,17.120001,17.270000,17.049999,17.094999,16.549578,80000
06-08-2020,17.160000,17.360001,17.129999,17.270000,16.718996,45800
07-08-2020,17.028000,17.040001,16.850000,16.959999,16.418886,79600
08-08-2020,n,n,n,n,n,n
09-08-2020,n,n,n,n,n,n
10-08-2020,17.000000,17.080000,16.965000,17.059999,16.515696,52500
11-08-2020,17.643000,17.760000,17.469999,17.469999,16.912613,73600
12-08-2020,18.090000,18.125000,17.930000,18.000000,17.425705,89200
13-08-2020,17.830000,17.900000,17.605000,17.709999,17.144957,49100
14-08-2020,17.639999,17.785000,17.610001,17.740000,17.174000,39800
15-08-2020,n,n,n,n,n,n
16-08-2020,n,n,n,n,n,n
17-08-2020,17.950001,17.959999,17.820000,17.860001,17.290173,74600
18-08-2020,18.000000,18.000000,17.809999,17.889999,17.319214,69000
19-08-2020,17.900000,18.020000,17.785000,17.805000,17.236927,53500
20-08-2020,17.450001,17.650000,17.400000,17.639999,17.077190,83300
21-08-2020,17.190001,17.400000,17.190001,17.370001,16.815805,47700
22-08-2020,n,n,n,n,n,n
23-08-2020,n,n,n,n,n,n
24-08-2020,17.420000,17.670000,17.410000,17.625000,17.062670,73900
25-08-2020,17.719999,17.730000,17.600000,17.730000,17.164318,43000
26-08-2020,17.930000,18.090000,17.830000,18.080000,17.503153,102400
27-08-2020,18.290001,18.290001,17.850000,17.990000,17.416023,154900
28-08-2020,18.010000,18.100000,17.969999,18.070000,17.493471,82100
29-08-2020,n,n,n,n,n,n
30-08-2020,n,n,n,n,n,n
31-08-2020,n,n,n,n,n,n
